номер,тип,формат,срочность,"цена (1 мин)","цена (15 мин)","цена (1 час)"
1,"домашняя работа",оффлайн,"не срочно",24.00,360.00,1440.00
2,"домашняя работа",оффлайн,срочно,30.00,450.00,1800.00
3,"домашняя работа",онлайн,"не срочно",20.00,300.00,1200.00
4,"домашняя работа",онлайн,срочно,25.00,375.00,1500.00
5,"домашняя работа","на дом","не срочно",16.00,240.00,960.00
6,"домашняя работа","на дом",срочно,20.00,300.00,1200.00
7,"лабораторная работа",оффлайн,"не срочно",30.00,450.00,1800.00
8,"лабораторная работа",оффлайн,срочно,37.50,562.50,2250.00
9,"лабораторная работа",онлайн,"не срочно",25.00,375.00,1500.00
10,"лабораторная работа",онлайн,срочно,31.25,468.75,1875.00
11,"лабораторная работа","на дом","не срочно",20.00,300.00,1200.00
12,"лабораторная работа","на дом",срочно,25.00,375.00,1500.00
13,"расчетная работа",оффлайн,"не срочно",30.00,450.00,1800.00
14,"расчетная работа",оффлайн,срочно,37.50,562.50,2250.00
15,"расчетная работа",онлайн,"не срочно",25.00,375.00,1500.00
16,"расчетная работа",онлайн,срочно,31.25,468.75,1875.00
17,"расчетная работа","на дом","не срочно",20.00,300.00,1200.00
18,"расчетная работа","на дом",срочно,25.00,375.00,1500.00
19,"самостоятельная работа",оффлайн,"не срочно",30.00,450.00,1800.00
20,"самостоятельная работа",оффлайн,срочно,37.50,562.50,2250.00
21,"самостоятельная работа",онлайн,"не срочно",25.00,375.00,1500.00
22,"самостоятельная работа",онлайн,срочно,31.25,468.75,1875.00
23,"самостоятельная работа","на дом","не срочно",20.00,300.00,1200.00
24,"самостоятельная работа","на дом",срочно,25.00,375.00,1500.00
25,тест,оффлайн,"не срочно",30.00,450.00,1800.00
26,тест,оффлайн,срочно,37.50,562.50,2250.00
27,тест,онлайн,"не срочно",25.00,375.00,1500.00
28,тест,онлайн,срочно,31.25,468.75,1875.00
29,тест,"на дом","не срочно",20.00,300.00,1200.00
30,тест,"на дом",срочно,25.00,375.00,1500.00
31,"контрольная работа",оффлайн,"не срочно",36.00,540.00,2160.00
32,"контрольная работа",оффлайн,срочно,45.00,675.00,2700.00
33,"контрольная работа",онлайн,"не срочно",30.00,450.00,1800.00
34,"контрольная работа",онлайн,срочно,37.50,562.50,2250.00
35,"контрольная работа","на дом","не срочно",24.00,360.00,1440.00
36,"контрольная работа","на дом",срочно,30.00,450.00,1800.00
37,зачет,оффлайн,"не срочно",48.00,720.00,2880.00
38,зачет,оффлайн,срочно,60.00,900.00,3600.00
39,зачет,онлайн,"не срочно",40.00,600.00,2400.00
40,зачет,онлайн,срочно,50.00,750.00,3000.00
41,зачет,"на дом","не срочно",32.00,480.00,1920.00
42,зачет,"на дом",срочно,40.00,600.00,2400.00
43,экзамен,оффлайн,"не срочно",48.00,720.00,2880.00
44,экзамен,оффлайн,срочно,60.00,900.00,3600.00
45,экзамен,онлайн,"не срочно",40.00,600.00,2400.00
46,экзамен,онлайн,срочно,50.00,750.00,3000.00
47,экзамен,"на дом","не срочно",32.00,480.00,1920.00
48,экзамен,"на дом",срочно,40.00,600.00,2400.00
